{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\mspaint.exe,7,8,11/15/2016 9:40:27 AM,{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}
{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\notepad.exe,8,9,7/20/2021 1:04:34 AM,{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}
{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\OpenWith.exe,32,0,,{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}
{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\ServerManager.exe,41,1,7/15/2021 11:30:33 PM,{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}
{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\services.msc,24,1,6/30/2021 1:16:02 AM,{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}
{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\SnippingTool.exe,6,14,11/15/2016 9:40:27 AM,{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}
{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\Sysprep\sysprep.exe,5,0,,{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}
{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\WF.msc,21,1,6/28/2021 1:48:43 AM,{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}
{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\WindowsPowerShell\v1.0\powershell.exe,1,9,7/20/2021 2:01:30 AM,{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}
{6D809377-6AF0-444B-8957-A3773F02200E}\Common Files\microsoft shared\ClickToRun\OfficeC2RClient.exe,37,0,,{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}
{6D809377-6AF0-444B-8957-A3773F02200E}\Common Files\microsoft shared\ClickToRun\OfficeClickToRun.exe,36,0,,{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}
{6D809377-6AF0-444B-8957-A3773F02200E}\Microsoft Office\Root\Office16\EXCEL.EXE,51,2,7/20/2021 11:40:31 PM,{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}
{6D809377-6AF0-444B-8957-A3773F02200E}\Microsoft Office\Root\VFS\ProgramFilesCommonX64\Microsoft Shared\Office16\MSOXMLED.EXE,48,2,7/20/2021 1:33:17 AM,{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}
{6D809377-6AF0-444B-8957-A3773F02200E}\Npcap\NPFInstall.exe,30,0,,{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}
{6D809377-6AF0-444B-8957-A3773F02200E}\Windows Defender\MSASCui.exe,19,0,,{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}
{6D809377-6AF0-444B-8957-A3773F02200E}\Windows NT\Accessories\wordpad.exe,49,0,,{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}
