system_time,id,detection_rules,computer_name,Event.EventData.Details,target_object
2021-07-11 02:19:46,13,+ New Application in AppCompat,"""EC2AMAZ-C831NP5.avengers.local""",Binary Data,"HKU\.DEFAULT\Software\Microsoft\Windows 
NT\CurrentVersion\AppCompatFlags\Compati
bility Assistant\Store\C:\Program Files 
(x86)\Microsoft OneDrive\21.119.0613.000
1\FileSyncConfig.exe"
2021-07-15 23:13:27,13,+ New Application in AppCompat,"""EC2AMAZ-C831NP5.avengers.local""",Binary Data,"HKU\S-1-5-21-1976052002-3724303175-15995
32400-500\SOFTWARE\Microsoft\Windows NT\
CurrentVersion\AppCompatFlags\Compatibil
ity Assistant\Store\C:\Users\Administrat
or\Downloads\Firefox Installer.exe"
2021-07-15 23:26:45,13,+ New Application in AppCompat,"""EC2AMAZ-C831NP5.avengers.local""",Binary Data,"HKU\S-1-5-21-1976052002-3724303175-15995
32400-500\SOFTWARE\Microsoft\Windows NT\
CurrentVersion\AppCompatFlags\Compatibil
ity Assistant\Store\C:\Program Files\Moz
illa Firefox\firefox.exe"
2021-07-15 23:26:46,13,+ Regsvr32 Network Activity,"""EC2AMAZ-C831NP5.avengers.local""","C:\Program Files\Mozilla Firefox\Accessi
bleHandler.dll","HKCR\CLSID\{DCA8D857-1A63-4045-8F36-8809
EB093D04}\InProcServer32\(Default)"
2021-07-15 23:26:46,13,+ Regsvr32 Network Activity,"""EC2AMAZ-C831NP5.avengers.local""","C:\Program Files\Mozilla Firefox\Accessi
bleMarshal.dll","HKCR\CLSID\{1814CEEB-49E2-407F-AF99-FA75
5A7D2607}\InProcServer32\(Default)"
2021-07-15 23:27:44,13,+ New Application in AppCompat,"""EC2AMAZ-C831NP5.avengers.local""",Binary Data,"HKU\S-1-5-21-1976052002-3724303175-15995
32400-500\SOFTWARE\Microsoft\Windows NT\
CurrentVersion\AppCompatFlags\Compatibil
ity Assistant\Store\C:\Users\Administrat
or\Downloads\drdoom.exe"
2021-07-15 23:27:46,13,+ New Application in AppCompat,"""EC2AMAZ-C831NP5.avengers.local""",Binary Data,"HKU\S-1-5-21-1976052002-3724303175-15995
32400-500\SOFTWARE\Microsoft\Windows NT\
CurrentVersion\AppCompatFlags\Compatibil
ity Assistant\Store\C:\Users\Administrat
or\Downloads\drdoom.exe"
2021-07-15 23:32:27,13,+ New Application in AppCompat,"""EC2AMAZ-C831NP5.avengers.local""",Binary Data,"HKU\S-1-5-21-1976052002-3724303175-15995
32400-500\SOFTWARE\Microsoft\Windows NT\
CurrentVersion\AppCompatFlags\Compatibil
ity Assistant\Store\C:\Users\Administrat
or\Downloads\drdoom4.exe"
2021-07-15 23:34:35,13,+ New Application in AppCompat,"""EC2AMAZ-C831NP5.avengers.local""",Binary Data,"HKU\S-1-5-21-1976052002-3724303175-15995
32400-500\SOFTWARE\Microsoft\Windows NT\
CurrentVersion\AppCompatFlags\Compatibil
ity Assistant\Store\C:\Users\Administrat
or\Downloads\drdoom4.exe"
2021-07-19 23:23:10,13,+ New Application in AppCompat,"""EC2AMAZ-C831NP5.avengers.local""",Binary Data,"HKU\S-1-5-21-1976052002-3724303175-15995
32400-500\SOFTWARE\Microsoft\Windows NT\
CurrentVersion\AppCompatFlags\Compatibil
ity Assistant\Store\C:\Program Files\Moz
illa Firefox\firefox.exe"
2021-07-19 23:25:15,13,+ New Application in AppCompat,"""EC2AMAZ-C831NP5.avengers.local""",Binary Data,"HKU\S-1-5-21-1976052002-3724303175-15995
32400-500\SOFTWARE\Microsoft\Windows NT\
CurrentVersion\AppCompatFlags\Compatibil
ity Assistant\Store\C:\Users\Administrat
or\Downloads\fuzz.exe"
2021-07-19 23:25:17,13,+ New Application in AppCompat,"""EC2AMAZ-C831NP5.avengers.local""",Binary Data,"HKU\S-1-5-21-1976052002-3724303175-15995
32400-500\SOFTWARE\Microsoft\Windows NT\
CurrentVersion\AppCompatFlags\Compatibil
ity Assistant\Store\C:\Users\Administrat
or\Downloads\fuzz.exe"
2021-07-19 23:28:44,13,+ New Application in AppCompat,"""EC2AMAZ-C831NP5.avengers.local""",Binary Data,"HKU\S-1-5-21-1976052002-3724303175-15995
32400-500\SOFTWARE\Microsoft\Windows NT\
CurrentVersion\AppCompatFlags\Compatibil
ity Assistant\Store\C:\Users\Administrat
or\Downloads\fuzz1.exe"
2021-07-20 00:05:03,13,+ New Application in AppCompat,"""EC2AMAZ-C831NP5.avengers.local""",Binary Data,"HKU\S-1-5-21-1976052002-3724303175-15995
32400-500\SOFTWARE\Microsoft\Windows NT\
CurrentVersion\AppCompatFlags\Compatibil
ity Assistant\Store\C:\Program Files\Mic
rosoft Office\root\Office16\EXCEL.EXE"
2021-07-20 00:13:33,13,+ New Application in AppCompat,"""EC2AMAZ-C831NP5.avengers.local""",Binary Data,"HKU\S-1-5-21-1976052002-3724303175-15995
32400-500\SOFTWARE\Microsoft\Windows NT\
CurrentVersion\AppCompatFlags\Compatibil
ity Assistant\Store\C:\Users\Administrat
or\Downloads\fuzz1.exe"
2021-07-20 00:15:01,13,+ New Application in AppCompat,"""EC2AMAZ-C831NP5.avengers.local""",Binary Data,"HKU\S-1-5-21-1976052002-3724303175-15995
32400-500\SOFTWARE\Microsoft\Windows NT\
CurrentVersion\AppCompatFlags\Compatibil
ity Assistant\Store\C:\Users\Administrat
or\Downloads\nssm.exe"
2021-07-20 00:16:04,13,+ New Application in AppCompat,"""EC2AMAZ-C831NP5.avengers.local""",Binary Data,"HKU\S-1-5-21-1976052002-3724303175-15995
32400-500\SOFTWARE\Microsoft\Windows NT\
CurrentVersion\AppCompatFlags\Compatibil
ity Assistant\Store\C:\Users\Administrat
or\Downloads\nssm.exe"
2021-07-20 01:04:51,13,+ New Application in AppCompat,"""EC2AMAZ-C831NP5.avengers.local""",Binary Data,"HKU\S-1-5-21-1976052002-3724303175-15995
32400-500\SOFTWARE\Microsoft\Windows NT\
CurrentVersion\AppCompatFlags\Compatibil
ity Assistant\Store\C:\Program Files\Mic
rosoft Office\root\vfs\ProgramFilesCommo
nX64\Microsoft Shared\OFFICE16\MSOXMLED.
EXE"
2021-07-20 01:04:57,13,+ New Application in AppCompat,"""EC2AMAZ-C831NP5.avengers.local""",Binary Data,"HKU\S-1-5-21-1976052002-3724303175-15995
32400-500\SOFTWARE\Microsoft\Windows NT\
CurrentVersion\AppCompatFlags\Compatibil
ity Assistant\Store\C:\Program Files\Mic
rosoft Office\root\vfs\ProgramFilesCommo
nX64\Microsoft Shared\OFFICE16\MSOXMLED.
EXE"
2021-07-20 01:33:24,13,+ New Application in AppCompat,"""EC2AMAZ-C831NP5.avengers.local""",Binary Data,"HKU\S-1-5-21-1976052002-3724303175-15995
32400-500\SOFTWARE\Microsoft\Windows NT\
CurrentVersion\AppCompatFlags\Compatibil
ity Assistant\Store\C:\Program Files\Mic
rosoft Office\root\vfs\ProgramFilesCommo
nX64\Microsoft Shared\OFFICE16\MSOXMLED.
EXE"
