system_time,id,detection_rules,computer_name,Event.EventData.TargetFilename,image
2021-06-28 00:27:32,11,+ Windows Webshell Creation,"""EC2AMAZ-37OM3IA.avengers.local""","C:\Users\Administrator\Downloads\apache-
tomcat-8.5.68-windows-x64\apache-tomcat-
8.5.68\webapps\host-manager\WEB-INF\jsp\
401.jsp",C:\Windows\Explorer.EXE
2021-06-28 00:27:32,11,+ Windows Webshell Creation,"""EC2AMAZ-37OM3IA.avengers.local""","C:\Users\Administrator\Downloads\apache-
tomcat-8.5.68-windows-x64\apache-tomcat-
8.5.68\webapps\host-manager\WEB-INF\jsp\
403.jsp",C:\Windows\Explorer.EXE
2021-06-28 00:27:32,11,+ Windows Webshell Creation,"""EC2AMAZ-37OM3IA.avengers.local""","C:\Users\Administrator\Downloads\apache-
tomcat-8.5.68-windows-x64\apache-tomcat-
8.5.68\webapps\host-manager\WEB-INF\jsp\
404.jsp",C:\Windows\Explorer.EXE
2021-06-28 00:27:32,11,+ Windows Webshell Creation,"""EC2AMAZ-37OM3IA.avengers.local""","C:\Users\Administrator\Downloads\apache-
tomcat-8.5.68-windows-x64\apache-tomcat-
8.5.68\webapps\manager\index.jsp",C:\Windows\Explorer.EXE
2021-06-28 00:27:32,11,+ Windows Webshell Creation,"""EC2AMAZ-37OM3IA.avengers.local""","C:\Users\Administrator\Downloads\apache-
tomcat-8.5.68-windows-x64\apache-tomcat-
8.5.68\webapps\manager\WEB-INF\jsp\401.j
sp",C:\Windows\Explorer.EXE
2021-06-28 00:27:32,11,+ Windows Webshell Creation,"""EC2AMAZ-37OM3IA.avengers.local""","C:\Users\Administrator\Downloads\apache-
tomcat-8.5.68-windows-x64\apache-tomcat-
8.5.68\webapps\manager\WEB-INF\jsp\403.j
sp",C:\Windows\Explorer.EXE
2021-06-28 00:27:32,11,+ Windows Webshell Creation,"""EC2AMAZ-37OM3IA.avengers.local""","C:\Users\Administrator\Downloads\apache-
tomcat-8.5.68-windows-x64\apache-tomcat-
8.5.68\webapps\manager\WEB-INF\jsp\404.j
sp",C:\Windows\Explorer.EXE
2021-06-28 00:27:32,11,+ Windows Webshell Creation,"""EC2AMAZ-37OM3IA.avengers.local""","C:\Users\Administrator\Downloads\apache-
tomcat-8.5.68-windows-x64\apache-tomcat-
8.5.68\webapps\manager\WEB-INF\jsp\conne
ctorCerts.jsp",C:\Windows\Explorer.EXE
2021-06-28 00:27:32,11,+ Windows Webshell Creation,"""EC2AMAZ-37OM3IA.avengers.local""","C:\Users\Administrator\Downloads\apache-
tomcat-8.5.68-windows-x64\apache-tomcat-
8.5.68\webapps\manager\WEB-INF\jsp\conne
ctorCiphers.jsp",C:\Windows\Explorer.EXE
2021-06-28 00:27:32,11,+ Windows Webshell Creation,"""EC2AMAZ-37OM3IA.avengers.local""","C:\Users\Administrator\Downloads\apache-
tomcat-8.5.68-windows-x64\apache-tomcat-
8.5.68\webapps\manager\WEB-INF\jsp\conne
ctorTrustedCerts.jsp",C:\Windows\Explorer.EXE
2021-06-28 00:27:32,11,+ Windows Webshell Creation,"""EC2AMAZ-37OM3IA.avengers.local""","C:\Users\Administrator\Downloads\apache-
tomcat-8.5.68-windows-x64\apache-tomcat-
8.5.68\webapps\manager\WEB-INF\jsp\sessi
onDetail.jsp",C:\Windows\Explorer.EXE
2021-06-28 00:27:32,11,+ Windows Webshell Creation,"""EC2AMAZ-37OM3IA.avengers.local""","C:\Users\Administrator\Downloads\apache-
tomcat-8.5.68-windows-x64\apache-tomcat-
8.5.68\webapps\manager\WEB-INF\jsp\sessi
onsList.jsp",C:\Windows\Explorer.EXE
2021-06-28 00:30:32,11,+ Windows Webshell Creation,"""EC2AMAZ-37OM3IA.avengers.local""","C:\Users\Administrator\Downloads\apache-
tomcat-10.0.7-windows-x64\apache-tomcat-
10.0.7\webapps\ROOT\index.jsp",C:\Windows\Explorer.EXE
2021-06-28 00:30:33,11,+ Windows Webshell Creation,"""EC2AMAZ-37OM3IA.avengers.local""","C:\Users\Administrator\Downloads\apache-
tomcat-10.0.7-windows-x64\apache-tomcat-
10.0.7\webapps\docs\appdev\sample\web\he
llo.jsp",C:\Windows\Explorer.EXE
